neighbourhood,room_type,price,number_of_reviews,calculated_host_listings_count,host_type
Near North Side,Hotel room,,184,7,Multi-listing Host
West Town,Entire home/apt,225.0,53,2,Multi-listing Host
Irving Park,Entire home/apt,116.0,215,6,Multi-listing Host
West Town,Entire home/apt,198.0,125,1,Single-listing Host
Lincoln Square,Entire home/apt,108.0,149,2,Multi-listing Host
West Town,Entire home/apt,55.0,411,1,Single-listing Host
West Town,Entire home/apt,210.0,249,2,Multi-listing Host
Jefferson Park,Entire home/apt,65.0,10,29,Multi-listing Host
Near North Side,Private room,,167,7,Multi-listing Host
Portage Park,Entire home/apt,85.0,327,1,Single-listing Host
Grand Boulevard,Entire home/apt,165.0,51,1,Single-listing Host
Near West Side,Entire home/apt,,40,2,Multi-listing Host
Logan Square,Entire home/apt,90.0,290,2,Multi-listing Host
Lake View,Entire home/apt,168.0,315,7,Multi-listing Host
Armour Square,Entire home/apt,155.0,155,19,Multi-listing Host
Lake View,Entire home/apt,190.0,32,1,Single-listing Host
Near North Side,Entire home/apt,163.0,282,21,Multi-listing Host
Brighton Park,Entire home/apt,375.0,27,2,Multi-listing Host
Logan Square,Entire home/apt,161.0,220,1,Single-listing Host
Lake View,Entire home/apt,142.0,312,7,Multi-listing Host
West Town,Entire home/apt,468.0,147,2,Multi-listing Host
Austin,Entire home/apt,125.0,50,1,Single-listing Host
West Town,Private room,,113,1,Single-listing Host
Irving Park,Entire home/apt,307.0,123,1,Single-listing Host
Logan Square,Entire home/apt,120.0,269,1,Single-listing Host
Armour Square,Private room,69.0,205,8,Multi-listing Host
Avondale,Entire home/apt,85.0,25,1,Single-listing Host
West Town,Entire home/apt,169.0,169,1,Single-listing Host
Near North Side,Private room,,194,7,Multi-listing Host
Rogers Park,Entire home/apt,235.0,97,3,Multi-listing Host
Lincoln Square,Entire home/apt,126.0,380,1,Single-listing Host
Near North Side,Entire home/apt,235.0,275,39,Multi-listing Host
Humboldt Park,Entire home/apt,161.0,89,1,Single-listing Host
Bridgeport,Entire home/apt,195.0,82,2,Multi-listing Host
West Town,Entire home/apt,116.0,178,7,Multi-listing Host
North Center,Entire home/apt,86.0,283,1,Single-listing Host
Logan Square,Entire home/apt,190.0,167,1,Single-listing Host
Logan Square,Entire home/apt,400.0,16,1,Single-listing Host
Bridgeport,Entire home/apt,169.0,163,2,Multi-listing Host
Armour Square,Private room,69.0,112,4,Multi-listing Host
Austin,Entire home/apt,232.0,157,2,Multi-listing Host
Grand Boulevard,Entire home/apt,118.0,173,2,Multi-listing Host
West Town,Entire home/apt,100.0,204,2,Multi-listing Host
Grand Boulevard,Private room,53.0,33,4,Multi-listing Host
Calumet Heights,Entire home/apt,300.0,26,2,Multi-listing Host
Grand Boulevard,Private room,53.0,25,4,Multi-listing Host
Oakland,Private room,63.0,28,4,Multi-listing Host
West Town,Entire home/apt,674.0,69,4,Multi-listing Host
Armour Square,Private room,59.0,122,4,Multi-listing Host
Rogers Park,Entire home/apt,235.0,90,3,Multi-listing Host
Uptown,Entire home/apt,79.0,198,6,Multi-listing Host
Near West Side,Private room,26.0,325,8,Multi-listing Host
Lincoln Square,Entire home/apt,125.0,48,1,Single-listing Host
Lincoln Park,Entire home/apt,325.0,86,1,Single-listing Host
East Garfield Park,Entire home/apt,554.0,105,1,Single-listing Host
Austin,Private room,30.0,65,3,Multi-listing Host
Lincoln Park,Entire home/apt,186.0,239,2,Multi-listing Host
Portage Park,Entire home/apt,145.0,189,1,Single-listing Host
Austin,Private room,30.0,154,3,Multi-listing Host
Avondale,Entire home/apt,59.0,40,6,Multi-listing Host
Avondale,Entire home/apt,69.0,42,6,Multi-listing Host
Lincoln Park,Entire home/apt,750.0,32,1,Single-listing Host
Logan Square,Entire home/apt,171.0,420,1,Single-listing Host
Jefferson Park,Entire home/apt,96.0,217,3,Multi-listing Host
Jefferson Park,Entire home/apt,96.0,271,3,Multi-listing Host
Lake View,Entire home/apt,85784.0,69,1,Single-listing Host
Logan Square,Private room,70.0,181,1,Single-listing Host
North Center,Entire home/apt,205.0,251,2,Multi-listing Host
West Town,Entire home/apt,,200,2,Multi-listing Host
Logan Square,Private room,109.0,69,1,Single-listing Host
Near West Side,Entire home/apt,75.0,213,1,Single-listing Host
Irving Park,Entire home/apt,104.0,61,12,Multi-listing Host
Bridgeport,Entire home/apt,,195,1,Single-listing Host
Jefferson Park,Entire home/apt,64.0,238,2,Multi-listing Host
West Town,Entire home/apt,133.0,183,5,Multi-listing Host
Near West Side,Entire home/apt,499.0,187,1,Single-listing Host
Logan Square,Entire home/apt,165.0,204,1,Single-listing Host
Belmont Cragin,Entire home/apt,70.0,4,2,Multi-listing Host
Lake View,Entire home/apt,102.0,606,1,Single-listing Host
Avondale,Entire home/apt,75.0,50,3,Multi-listing Host
East Garfield Park,Entire home/apt,110.0,7,1,Single-listing Host
Irving Park,Private room,60.0,15,12,Multi-listing Host
Avondale,Entire home/apt,75.0,36,1,Single-listing Host
Irving Park,Entire home/apt,,28,1,Single-listing Host
Irving Park,Private room,49.0,11,12,Multi-listing Host
Irving Park,Private room,41.0,14,12,Multi-listing Host
Irving Park,Private room,46.0,12,12,Multi-listing Host
West Town,Entire home/apt,94.0,395,1,Single-listing Host
Irving Park,Entire home/apt,116.0,229,6,Multi-listing Host
Lake View,Entire home/apt,281.0,78,20,Multi-listing Host
Lake View,Entire home/apt,211.0,188,20,Multi-listing Host
Hegewisch,Entire home/apt,155.0,5,8,Multi-listing Host
Near West Side,Private room,32.0,298,8,Multi-listing Host
Near West Side,Private room,25.0,270,8,Multi-listing Host
Douglas,Entire home/apt,140.0,197,1,Single-listing Host
Avondale,Entire home/apt,85.0,45,6,Multi-listing Host
Avondale,Entire home/apt,571.0,138,1,Single-listing Host
Near West Side,Private room,25.0,295,8,Multi-listing Host
Near North Side,Entire home/apt,298.0,162,4,Multi-listing Host
Edgewater,Entire home/apt,118.0,128,1,Single-listing Host
Woodlawn,Entire home/apt,162.0,64,1,Single-listing Host
Avondale,Entire home/apt,109.0,518,1,Single-listing Host
Lake View,Entire home/apt,,112,4,Multi-listing Host
West Town,Entire home/apt,135.0,66,5,Multi-listing Host
Lake View,Entire home/apt,118.0,180,1,Single-listing Host
Uptown,Entire home/apt,54.0,575,16,Multi-listing Host
Uptown,Entire home/apt,54.0,569,16,Multi-listing Host
Near West Side,Private room,23.0,18,8,Multi-listing Host
Lower West Side,Entire home/apt,120.0,183,2,Multi-listing Host
Lincoln Square,Entire home/apt,160.0,114,1,Single-listing Host
Woodlawn,Entire home/apt,329.0,123,1,Single-listing Host
Logan Square,Entire home/apt,496.0,28,1,Single-listing Host
Logan Square,Entire home/apt,100.0,138,1,Single-listing Host
South Shore,Entire home/apt,143.0,26,1,Single-listing Host
Irving Park,Entire home/apt,117.0,123,2,Multi-listing Host
Near West Side,Entire home/apt,99.0,210,1,Single-listing Host
West Town,Entire home/apt,999.0,137,1,Single-listing Host
Bridgeport,Entire home/apt,198.0,103,1,Single-listing Host
Near West Side,Private room,22.0,79,8,Multi-listing Host
Avondale,Entire home/apt,,14,1,Single-listing Host
Woodlawn,Entire home/apt,159.0,104,1,Single-listing Host
Uptown,Entire home/apt,95.0,239,3,Multi-listing Host
Lake View,Entire home/apt,200.0,107,4,Multi-listing Host
Avondale,Entire home/apt,77.0,262,2,Multi-listing Host
Logan Square,Entire home/apt,143.0,192,2,Multi-listing Host
Near West Side,Entire home/apt,131.0,279,2,Multi-listing Host
Lake View,Entire home/apt,299.0,105,1,Single-listing Host
Hermosa,Entire home/apt,157.0,131,3,Multi-listing Host
West Town,Entire home/apt,191.0,387,2,Multi-listing Host
Lake View,Entire home/apt,278.0,59,2,Multi-listing Host
West Town,Entire home/apt,148.0,198,1,Single-listing Host
Lake View,Entire home/apt,406.0,114,1,Single-listing Host
Avondale,Entire home/apt,208.0,327,1,Single-listing Host
Logan Square,Entire home/apt,198.0,102,1,Single-listing Host
Kenwood,Entire home/apt,195.0,6,3,Multi-listing Host
Armour Square,Entire home/apt,155.0,117,19,Multi-listing Host
Belmont Cragin,Private room,150.0,16,4,Multi-listing Host
West Town,Entire home/apt,528.0,53,1,Single-listing Host
Douglas,Private room,,80,1,Single-listing Host
West Town,Entire home/apt,59.0,30,4,Multi-listing Host
Uptown,Private room,,85,2,Multi-listing Host
Near West Side,Private room,102.0,94,1,Single-listing Host
Logan Square,Entire home/apt,229.0,14,1,Single-listing Host
Humboldt Park,Entire home/apt,80.0,143,1,Single-listing Host
Irving Park,Private room,47.0,27,3,Multi-listing Host
Jefferson Park,Entire home/apt,80.0,224,5,Multi-listing Host
Woodlawn,Entire home/apt,120.0,222,1,Single-listing Host
West Town,Entire home/apt,117.0,224,21,Multi-listing Host
Near North Side,Entire home/apt,130.0,6,29,Multi-listing Host
Lake View,Entire home/apt,,93,4,Multi-listing Host
Irving Park,Private room,91.0,185,1,Single-listing Host
West Town,Entire home/apt,225.0,106,2,Multi-listing Host
Near North Side,Entire home/apt,312.0,209,4,Multi-listing Host
Belmont Cragin,Private room,150.0,16,4,Multi-listing Host
Irving Park,Entire home/apt,369.0,50,1,Single-listing Host
Douglas,Entire home/apt,204.0,91,1,Single-listing Host
Lower West Side,Entire home/apt,83.0,19,29,Multi-listing Host
West Town,Entire home/apt,1075.0,1,1,Single-listing Host
Near North Side,Entire home/apt,115.0,18,29,Multi-listing Host
Uptown,Private room,100.0,128,1,Single-listing Host
Lower West Side,Entire home/apt,175.0,117,1,Single-listing Host
Lincoln Park,Entire home/apt,289.0,10,1,Single-listing Host
South Shore,Entire home/apt,76.0,26,2,Multi-listing Host
Jefferson Park,Entire home/apt,86.0,172,5,Multi-listing Host
Grand Boulevard,Private room,93.0,47,1,Single-listing Host
Archer Heights,Entire home/apt,75.0,154,1,Single-listing Host
Douglas,Entire home/apt,110.0,173,1,Single-listing Host
Near North Side,Entire home/apt,110.0,25,1,Single-listing Host
West Town,Entire home/apt,119.0,506,2,Multi-listing Host
Fuller Park,Entire home/apt,25.0,111,1,Single-listing Host
Logan Square,Entire home/apt,97.0,100,1,Single-listing Host
North Center,Entire home/apt,597.0,52,9,Multi-listing Host
Lower West Side,Entire home/apt,12.0,10,29,Multi-listing Host
Lincoln Park,Entire home/apt,321.0,175,20,Multi-listing Host
Jefferson Park,Entire home/apt,83.0,133,5,Multi-listing Host
Rogers Park,Entire home/apt,493.0,86,1,Single-listing Host
South Lawndale,Entire home/apt,135.0,58,1,Single-listing Host
West Town,Entire home/apt,59.0,187,1,Single-listing Host
Lake View,Entire home/apt,181.0,335,1,Single-listing Host
Lincoln Park,Entire home/apt,209.0,93,6,Multi-listing Host
Near West Side,Entire home/apt,65.0,124,4,Multi-listing Host
Logan Square,Entire home/apt,200.0,21,1,Single-listing Host
Lake View,Entire home/apt,199.0,104,1,Single-listing Host
Lincoln Square,Entire home/apt,151.0,23,1,Single-listing Host
Irving Park,Entire home/apt,289.0,198,1,Single-listing Host
Lake View,Entire home/apt,140.0,217,1,Single-listing Host
Norwood Park,Private room,71.0,174,1,Single-listing Host
West Garfield Park,Private room,32.0,52,2,Multi-listing Host
Logan Square,Entire home/apt,59.0,158,1,Single-listing Host
South Shore,Entire home/apt,331.0,85,9,Multi-listing Host
Near West Side,Entire home/apt,248.0,258,1,Single-listing Host
Belmont Cragin,Entire home/apt,109.0,162,1,Single-listing Host
West Pullman,Entire home/apt,125.0,75,1,Single-listing Host
Irving Park,Entire home/apt,143.0,95,1,Single-listing Host
South Lawndale,Entire home/apt,129.0,11,4,Multi-listing Host
Lake View,Entire home/apt,121.0,212,1,Single-listing Host
Logan Square,Entire home/apt,200.0,30,1,Single-listing Host
Grand Boulevard,Entire home/apt,117.0,139,2,Multi-listing Host
Lake View,Entire home/apt,143.0,333,1,Single-listing Host
Oakland,Private room,48.0,0,1,Single-listing Host
Lake View,Entire home/apt,99.0,37,1,Single-listing Host
Near West Side,Entire home/apt,72.0,13,29,Multi-listing Host
Lake View,Entire home/apt,707.0,127,1,Single-listing Host
West Town,Entire home/apt,,348,1,Single-listing Host
West Town,Entire home/apt,179.0,32,1,Single-listing Host
Auburn Gresham,Entire home/apt,,1,4,Multi-listing Host
North Lawndale,Private room,45.0,11,2,Multi-listing Host
Hyde Park,Private room,40.0,42,2,Multi-listing Host
North Center,Private room,157.0,97,1,Single-listing Host
Lower West Side,Entire home/apt,70.0,14,29,Multi-listing Host
Uptown,Entire home/apt,101.0,198,1,Single-listing Host
Auburn Gresham,Private room,59.0,3,4,Multi-listing Host
Hermosa,Private room,,0,1,Single-listing Host
Near West Side,Entire home/apt,130.0,1,1,Single-listing Host
Avondale,Entire home/apt,63.0,18,4,Multi-listing Host
Uptown,Entire home/apt,95.0,202,3,Multi-listing Host
Uptown,Entire home/apt,297.0,16,3,Multi-listing Host
Irving Park,Entire home/apt,110.0,98,1,Single-listing Host
Bridgeport,Entire home/apt,183.0,154,2,Multi-listing Host
West Town,Private room,46.0,44,2,Multi-listing Host
Lake View,Entire home/apt,149.0,190,1,Single-listing Host
Lincoln Park,Entire home/apt,329.0,55,1,Single-listing Host
North Center,Entire home/apt,110.0,83,1,Single-listing Host
Near North Side,Entire home/apt,954.0,32,4,Multi-listing Host
Auburn Gresham,Private room,79.0,2,4,Multi-listing Host
Avondale,Entire home/apt,134.0,146,1,Single-listing Host
Lincoln Park,Entire home/apt,599.0,79,4,Multi-listing Host
Irving Park,Entire home/apt,200.0,27,1,Single-listing Host
Rogers Park,Private room,60.0,10,1,Single-listing Host
West Town,Entire home/apt,131.0,267,1,Single-listing Host
North Center,Entire home/apt,195.0,375,4,Multi-listing Host
Logan Square,Entire home/apt,600.0,92,1,Single-listing Host
West Town,Hotel room,175.0,5,10,Multi-listing Host
West Town,Hotel room,151.0,66,10,Multi-listing Host
West Town,Hotel room,164.0,5,10,Multi-listing Host
West Town,Hotel room,185.0,4,10,Multi-listing Host
West Town,Hotel room,167.0,27,10,Multi-listing Host
West Town,Hotel room,175.0,13,10,Multi-listing Host
West Town,Hotel room,144.0,48,10,Multi-listing Host
West Town,Hotel room,160.0,6,10,Multi-listing Host
West Town,Hotel room,183.0,28,10,Multi-listing Host
Lower West Side,Entire home/apt,121.0,175,2,Multi-listing Host
Bridgeport,Entire home/apt,49.0,136,12,Multi-listing Host
Lake View,Entire home/apt,123.0,203,1,Single-listing Host
Loop,Entire home/apt,,35,3,Multi-listing Host
Bridgeport,Entire home/apt,118.0,182,1,Single-listing Host
Washington Heights,Private room,29.0,79,3,Multi-listing Host
Near West Side,Entire home/apt,569.0,15,29,Multi-listing Host
Humboldt Park,Entire home/apt,116.0,162,1,Single-listing Host
Lake View,Private room,57.0,119,1,Single-listing Host
Lincoln Square,Entire home/apt,121.0,360,1,Single-listing Host
Uptown,Entire home/apt,120.0,285,1,Single-listing Host
Lake View,Entire home/apt,165.0,138,2,Multi-listing Host
Lower West Side,Entire home/apt,93.0,18,29,Multi-listing Host
Logan Square,Private room,,9,1,Single-listing Host
West Town,Entire home/apt,102.0,436,5,Multi-listing Host
Avondale,Entire home/apt,152.0,144,2,Multi-listing Host
Jefferson Park,Entire home/apt,130.0,142,1,Single-listing Host
Near West Side,Private room,57.0,14,9,Multi-listing Host
Near West Side,Private room,50.0,16,9,Multi-listing Host
Lincoln Park,Entire home/apt,195.0,346,1,Single-listing Host
Edgewater,Entire home/apt,62.0,37,6,Multi-listing Host
Portage Park,Private room,73.0,15,22,Multi-listing Host
Portage Park,Private room,,8,22,Multi-listing Host
Belmont Cragin,Private room,122.0,21,22,Multi-listing Host
Portage Park,Entire home/apt,364.0,0,22,Multi-listing Host
Uptown,Entire home/apt,123.0,290,1,Single-listing Host
Washington Heights,Private room,34.0,48,3,Multi-listing Host
Jefferson Park,Entire home/apt,137.0,195,1,Single-listing Host
Lake View,Entire home/apt,120.0,281,1,Single-listing Host
Irving Park,Private room,60.0,66,2,Multi-listing Host
West Town,Entire home/apt,145.0,13,4,Multi-listing Host
Bridgeport,Entire home/apt,125.0,175,5,Multi-listing Host
Lincoln Park,Private room,60.0,88,1,Single-listing Host
Edgewater,Private room,195.0,8,3,Multi-listing Host
West Garfield Park,Entire home/apt,120.0,0,1,Single-listing Host
Near North Side,Private room,91.0,580,9,Multi-listing Host
West Town,Entire home/apt,89.0,108,1,Single-listing Host
North Lawndale,Entire home/apt,150.0,10,1,Single-listing Host
East Garfield Park,Private room,26.0,263,9,Multi-listing Host
East Garfield Park,Private room,23.0,162,9,Multi-listing Host
Logan Square,Entire home/apt,118.0,324,2,Multi-listing Host
Irving Park,Entire home/apt,68.0,646,5,Multi-listing Host
Kenwood,Private room,115.0,105,1,Single-listing Host
West Town,Entire home/apt,749.0,95,3,Multi-listing Host
Lower West Side,Entire home/apt,129.0,361,2,Multi-listing Host
Lake View,Entire home/apt,58.0,284,9,Multi-listing Host
Logan Square,Entire home/apt,70.0,234,2,Multi-listing Host
West Town,Entire home/apt,,25,1,Single-listing Host
Logan Square,Entire home/apt,69.0,498,6,Multi-listing Host
Armour Square,Private room,59.0,141,4,Multi-listing Host
Grand Boulevard,Entire home/apt,88.0,206,1,Single-listing Host
West Town,Entire home/apt,79.0,151,1,Single-listing Host
Logan Square,Entire home/apt,130.0,158,1,Single-listing Host
Near West Side,Private room,50.0,21,9,Multi-listing Host
West Ridge,Private room,80.0,99,1,Single-listing Host
Irving Park,Entire home/apt,103.0,121,6,Multi-listing Host
Brighton Park,Entire home/apt,221.0,135,2,Multi-listing Host
Irving Park,Entire home/apt,106.0,95,1,Single-listing Host
Near North Side,Entire home/apt,249.0,8,13,Multi-listing Host
Uptown,Entire home/apt,484.0,75,7,Multi-listing Host
Lake View,Entire home/apt,250.0,59,1,Single-listing Host
Belmont Cragin,Entire home/apt,70.0,9,2,Multi-listing Host
West Town,Entire home/apt,141.0,258,1,Single-listing Host
Near North Side,Entire home/apt,159.0,5,13,Multi-listing Host
North Center,Entire home/apt,273.0,47,1,Single-listing Host
Near North Side,Entire home/apt,199.0,276,1,Single-listing Host
Lincoln Park,Entire home/apt,185.0,42,4,Multi-listing Host
Portage Park,Private room,114.0,0,22,Multi-listing Host
Lake View,Entire home/apt,138.0,251,1,Single-listing Host
West Town,Entire home/apt,1657.0,9,1,Single-listing Host
Irving Park,Entire home/apt,98.0,14,2,Multi-listing Host
Lincoln Park,Entire home/apt,193.0,86,4,Multi-listing Host
Lincoln Park,Entire home/apt,212.0,68,4,Multi-listing Host
Armour Square,Entire home/apt,125.0,179,5,Multi-listing Host
Woodlawn,Entire home/apt,150.0,110,1,Single-listing Host
Near South Side,Entire home/apt,155.0,0,1,Single-listing Host
Near North Side,Entire home/apt,161.0,211,15,Multi-listing Host
Brighton Park,Entire home/apt,95.0,238,2,Multi-listing Host
Near North Side,Entire home/apt,101.0,8,1,Single-listing Host
Near North Side,Private room,97.0,447,9,Multi-listing Host
Jefferson Park,Entire home/apt,71.0,219,1,Single-listing Host
North Center,Entire home/apt,99.0,59,2,Multi-listing Host
North Center,Entire home/apt,85.0,110,1,Single-listing Host
Portage Park,Entire home/apt,98.0,395,1,Single-listing Host
East Garfield Park,Entire home/apt,151.0,29,1,Single-listing Host
West Town,Entire home/apt,134.0,297,1,Single-listing Host
Grand Boulevard,Entire home/apt,155.0,161,5,Multi-listing Host
Washington Heights,Private room,35.0,43,3,Multi-listing Host
Logan Square,Entire home/apt,185.0,118,1,Single-listing Host
Lincoln Square,Entire home/apt,220.0,145,2,Multi-listing Host
Lake View,Entire home/apt,108.0,201,2,Multi-listing Host
West Englewood,Shared room,25.0,4,16,Multi-listing Host
Logan Square,Entire home/apt,49.0,171,2,Multi-listing Host
Near West Side,Entire home/apt,103.0,241,1,Single-listing Host
Lake View,Entire home/apt,364.0,2,2,Multi-listing Host
Bridgeport,Entire home/apt,69.0,307,5,Multi-listing Host
Beverly,Entire home/apt,99.0,171,1,Single-listing Host
West Town,Entire home/apt,224.0,75,22,Multi-listing Host
Lower West Side,Entire home/apt,131.0,371,3,Multi-listing Host
Near North Side,Private room,275.0,13,4,Multi-listing Host
Edgewater,Entire home/apt,93.0,148,1,Single-listing Host
West Town,Private room,65.0,173,22,Multi-listing Host
West Town,Private room,65.0,183,22,Multi-listing Host
West Town,Private room,65.0,192,22,Multi-listing Host
North Center,Entire home/apt,128.0,184,4,Multi-listing Host
North Center,Entire home/apt,,3,1,Single-listing Host
Rogers Park,Entire home/apt,485.0,0,1,Single-listing Host
West Town,Entire home/apt,150.0,63,9,Multi-listing Host
West Town,Hotel room,145.0,127,9,Multi-listing Host
West Town,Hotel room,139.0,25,9,Multi-listing Host
West Town,Hotel room,152.0,25,9,Multi-listing Host
West Town,Entire home/apt,148.0,36,9,Multi-listing Host
West Town,Hotel room,190.0,102,9,Multi-listing Host
West Town,Hotel room,148.0,201,9,Multi-listing Host
West Town,Hotel room,145.0,161,9,Multi-listing Host
Lake View,Entire home/apt,1136.0,100,2,Multi-listing Host
Englewood,Private room,42.0,48,5,Multi-listing Host
Loop,Entire home/apt,234.0,171,3,Multi-listing Host
West Town,Private room,,46,22,Multi-listing Host
Near West Side,Entire home/apt,74.0,180,2,Multi-listing Host
Logan Square,Private room,74.0,6,1,Single-listing Host
West Town,Entire home/apt,500.0,18,1,Single-listing Host
West Town,Entire home/apt,85.0,195,1,Single-listing Host
Lake View,Entire home/apt,251.0,125,20,Multi-listing Host
Humboldt Park,Entire home/apt,500.0,63,1,Single-listing Host
West Ridge,Entire home/apt,91.0,243,1,Single-listing Host
West Town,Entire home/apt,199.0,93,1,Single-listing Host
North Lawndale,Entire home/apt,285.0,21,2,Multi-listing Host
Austin,Private room,49.0,44,6,Multi-listing Host
Lincoln Park,Entire home/apt,360.0,0,4,Multi-listing Host
Lincoln Park,Entire home/apt,169.0,11,4,Multi-listing Host
Lake View,Private room,58.0,89,5,Multi-listing Host
Near West Side,Entire home/apt,136.0,71,1,Single-listing Host
Austin,Private room,49.0,51,6,Multi-listing Host
Rogers Park,Private room,105.0,91,2,Multi-listing Host
Austin,Private room,39.0,59,6,Multi-listing Host
Armour Square,Entire home/apt,298.0,183,1,Single-listing Host
Humboldt Park,Entire home/apt,139.0,17,2,Multi-listing Host
Bridgeport,Entire home/apt,109.0,57,1,Single-listing Host
West Town,Entire home/apt,,4,1,Single-listing Host
West Town,Entire home/apt,80.0,12,1,Single-listing Host
Woodlawn,Entire home/apt,111.0,168,1,Single-listing Host
Avondale,Entire home/apt,93.0,128,1,Single-listing Host
Edgewater,Entire home/apt,201.0,151,1,Single-listing Host
Austin,Private room,50.0,38,6,Multi-listing Host
West Town,Entire home/apt,122.0,17,1,Single-listing Host
Near West Side,Private room,60.0,192,4,Multi-listing Host
Brighton Park,Entire home/apt,89.0,71,1,Single-listing Host
West Town,Entire home/apt,211.0,46,22,Multi-listing Host
Uptown,Entire home/apt,85.0,485,3,Multi-listing Host
West Ridge,Entire home/apt,179.0,31,1,Single-listing Host
West Town,Entire home/apt,115.0,405,1,Single-listing Host
Irving Park,Private room,41.0,132,3,Multi-listing Host
South Shore,Private room,55.0,34,2,Multi-listing Host
Lake View,Entire home/apt,97.0,156,6,Multi-listing Host
Lake View,Entire home/apt,695.0,23,5,Multi-listing Host
Logan Square,Entire home/apt,105.0,117,1,Single-listing Host
Humboldt Park,Entire home/apt,,0,2,Multi-listing Host
Near West Side,Entire home/apt,85.0,181,4,Multi-listing Host
Edgewater,Entire home/apt,179.0,121,1,Single-listing Host
Lake View,Entire home/apt,122.0,368,1,Single-listing Host
Grand Boulevard,Entire home/apt,200.0,10,2,Multi-listing Host
West Garfield Park,Entire home/apt,161.0,88,1,Single-listing Host
North Center,Entire home/apt,135.0,9,1,Single-listing Host
Austin,Private room,60.0,88,3,Multi-listing Host
Near North Side,Private room,120.0,473,9,Multi-listing Host
North Center,Entire home/apt,59.0,231,2,Multi-listing Host
Humboldt Park,Entire home/apt,115.0,112,2,Multi-listing Host
Greater Grand Crossing,Entire home/apt,363.0,31,1,Single-listing Host
Irving Park,Private room,,52,1,Single-listing Host
Lake View,Entire home/apt,220.0,62,4,Multi-listing Host
Avondale,Entire home/apt,121.0,135,1,Single-listing Host
South Lawndale,Entire home/apt,129.0,49,2,Multi-listing Host
West Town,Entire home/apt,145.0,150,4,Multi-listing Host
Austin,Private room,49.0,41,6,Multi-listing Host
Albany Park,Entire home/apt,174.0,172,1,Single-listing Host
Avondale,Entire home/apt,111.0,19,2,Multi-listing Host
Near West Side,Entire home/apt,314.0,28,1,Single-listing Host
Near West Side,Entire home/apt,90.0,0,1,Single-listing Host
Humboldt Park,Entire home/apt,,105,2,Multi-listing Host
Near North Side,Entire home/apt,73.0,417,6,Multi-listing Host
Rogers Park,Entire home/apt,65.0,0,1,Single-listing Host
Logan Square,Entire home/apt,242.0,121,7,Multi-listing Host
Edgewater,Entire home/apt,147.0,123,1,Single-listing Host
West Town,Private room,,132,12,Multi-listing Host
West Town,Private room,,147,12,Multi-listing Host
North Lawndale,Entire home/apt,120.0,90,3,Multi-listing Host
Lower West Side,Entire home/apt,98.0,292,2,Multi-listing Host
Near West Side,Entire home/apt,184.0,164,3,Multi-listing Host
Near North Side,Entire home/apt,699.0,1,13,Multi-listing Host
Loop,Entire home/apt,350.0,120,7,Multi-listing Host
Logan Square,Entire home/apt,120.0,109,1,Single-listing Host
Rogers Park,Entire home/apt,112.0,58,2,Multi-listing Host
Rogers Park,Entire home/apt,235.0,30,3,Multi-listing Host
Irving Park,Private room,31.0,5,12,Multi-listing Host
Uptown,Entire home/apt,75.0,322,25,Multi-listing Host
Edgewater,Entire home/apt,127.0,123,1,Single-listing Host
Uptown,Entire home/apt,78.0,13,2,Multi-listing Host
Near West Side,Entire home/apt,413.0,181,24,Multi-listing Host
Logan Square,Entire home/apt,135.0,170,1,Single-listing Host
Lincoln Park,Entire home/apt,857.0,122,1,Single-listing Host
Woodlawn,Entire home/apt,130.0,0,1,Single-listing Host
Hegewisch,Entire home/apt,85.0,198,1,Single-listing Host
Near North Side,Entire home/apt,278.0,150,4,Multi-listing Host
Lake View,Entire home/apt,111.0,313,7,Multi-listing Host
Lake View,Entire home/apt,150.0,284,7,Multi-listing Host
West Town,Entire home/apt,590.0,114,92,Multi-listing Host
Armour Square,Private room,59.0,178,4,Multi-listing Host
Douglas,Entire home/apt,123.0,184,2,Multi-listing Host
Near West Side,Entire home/apt,325.0,238,24,Multi-listing Host
Near West Side,Entire home/apt,858.0,78,24,Multi-listing Host
Lower West Side,Entire home/apt,91.0,318,1,Single-listing Host
Lake View,Entire home/apt,363.0,215,5,Multi-listing Host
Logan Square,Entire home/apt,55.0,288,1,Single-listing Host
Logan Square,Entire home/apt,1356.0,86,4,Multi-listing Host
East Garfield Park,Private room,70.0,2,13,Multi-listing Host
South Lawndale,Entire home/apt,79.0,48,4,Multi-listing Host
Douglas,Entire home/apt,93.0,112,1,Single-listing Host
Loop,Entire home/apt,175.0,2,13,Multi-listing Host
Logan Square,Entire home/apt,121.0,178,1,Single-listing Host
Bridgeport,Entire home/apt,119.0,85,2,Multi-listing Host
Rogers Park,Entire home/apt,162.0,71,4,Multi-listing Host
Armour Square,Entire home/apt,314.0,127,19,Multi-listing Host
West Town,Entire home/apt,195.0,116,1,Single-listing Host
Albany Park,Private room,56.0,108,1,Single-listing Host
Garfield Ridge,Entire home/apt,109.0,88,1,Single-listing Host
Armour Square,Entire home/apt,223.0,129,19,Multi-listing Host
Near South Side,Entire home/apt,223.0,135,19,Multi-listing Host
Lower West Side,Entire home/apt,106.0,176,5,Multi-listing Host
Lower West Side,Entire home/apt,103.0,193,2,Multi-listing Host
South Shore,Private room,30.0,51,8,Multi-listing Host
Armour Square,Entire home/apt,297.0,101,19,Multi-listing Host
Armour Square,Entire home/apt,280.0,74,19,Multi-listing Host
