neighbourhood,room_type,price,number_of_reviews,calculated_host_listings_count,host_type
Uptown,Entire home/apt,126.0,172,1,Single-listing Host
Treme - Lafitte,Entire home/apt,118.0,245,17,Multi-listing Host
Central City,Entire home/apt,195.0,125,2,Multi-listing Host
Central City,Entire home/apt,78.0,284,3,Multi-listing Host
Central City,Entire home/apt,206.0,264,1,Single-listing Host
Bywater,Entire home/apt,169.0,128,1,Single-listing Host
Central Business District,Entire home/apt,,1,1,Single-listing Host
St. Claude,Private room,80.0,206,1,Single-listing Host
Marigny,Entire home/apt,152.0,417,2,Multi-listing Host
St. Roch,Entire home/apt,450.0,5,2,Multi-listing Host
Mid-City,Entire home/apt,117.0,3,1,Single-listing Host
Mid-City,Entire home/apt,99.0,139,1,Single-listing Host
St. Roch,Entire home/apt,205.0,194,1,Single-listing Host
Broadmoor,Entire home/apt,120.0,78,1,Single-listing Host
Marlyville - Fontainbleau,Entire home/apt,,64,1,Single-listing Host
Treme - Lafitte,Entire home/apt,100.0,168,1,Single-listing Host
St. Roch,Entire home/apt,79.0,383,3,Multi-listing Host
St. Claude,Entire home/apt,130.0,29,1,Single-listing Host
Mid-City,Entire home/apt,106.0,60,1,Single-listing Host
Navarre,Entire home/apt,,77,1,Single-listing Host
Marigny,Private room,112.0,166,7,Multi-listing Host
Marigny,Private room,69.0,254,7,Multi-listing Host
Tulane - Gravier,Entire home/apt,187.0,143,1,Single-listing Host
West Riverside,Entire home/apt,118.0,322,1,Single-listing Host
Central Business District,Entire home/apt,230.0,419,3,Multi-listing Host
Seventh Ward,Private room,,160,2,Multi-listing Host
Audubon,Entire home/apt,174.0,321,1,Single-listing Host
French Quarter,Entire home/apt,221.0,406,3,Multi-listing Host
Mid-City,Entire home/apt,,0,1,Single-listing Host
West Riverside,Entire home/apt,108.0,245,1,Single-listing Host
Broadmoor,Entire home/apt,146.0,224,1,Single-listing Host
St. Roch,Private room,60.0,405,1,Single-listing Host
Central City,Entire home/apt,182.0,158,3,Multi-listing Host
Fairgrounds,Entire home/apt,,5,1,Single-listing Host
Central City,Entire home/apt,227.0,482,1,Single-listing Host
Audubon,Entire home/apt,229.0,61,1,Single-listing Host
